normal_tamil,theni_tamil
ஆன்லைன்ல எல்லாரும் சேர்ந்து வேலை பாக்குறது எப்படி,ஆன்லைன்ல எல்லாரும் சேர்ந்து எப்புடி வேலை செய்யணும்
வேலைய வேகமா முடிக்க சில ஹேக்ஸ்சொல்லுங்க,வேலைய சீக்கிரம் முடிக்க வித்தைசொல்லுங்க
டிஜிட்டலா நோட்ஸ் எடுக்குறது எப்படின்னுசொல்லுங்க,போன்ல எப்புடி நோட்ஸ் எடுக்கணும்
அறிவை எப்படி மேனேஜ் பண்றது,அறிவ எப்புடி வளர்த்துக்கணும்
இரண்டாவது மூளை அப்படின்னா என்ன,செகண்ட் பிரைன்-னா என்ன
ஸ்டூடண்ட்ஸுக்கான ஏஐ டூல்ஸ் என்னென்ன,படிக்கிற புள்ளைங்களுக்கு ஏஐ டூல் என்ன இருக்கு
பெஸ்ட்டான ஏஐ பிராம்ப்ட்ஸ்சொல்லுங்க,நல்ல ஏஐ பிராம்ப்ட்ஸ்சொல்லுங்க
பிராம்ப்ட் இன்ஜினியரிங் பேசிக்ஸ்,பிராம்ப்ட் இன்ஜினியரிங் பத்திச்சொல்லுங்க
ஏஐ-ஆல என்னென்ன செய்ய முடியாது,ஏஐ-ஆல என்ன செய்ய முடியாது
ஒரு சர்வே ரிப்போர்ட் ரெடி பண்ணுங்க,சர்வே ரிப்போர்ட் ரெடி பண்ணுங்க
ஃபீட்பேக்கை அனலைஸ் பண்ணுங்க,மக்களோட கருத்த ஆராயுங்க
டேட்டாவை படமா காட்டுங்க,டேட்டாவ ஒரு படமா காட்டு
சார்ட் எக்ஸ்ப்ளைன் பண்ணுங்க,சார்ட் மேட்டர விளக்கு
டேஷ்போர்டு பேசிக்ஸ்சொல்லுங்க,டேஷ்போர்டு பத்தி ஆரம்பத்துல இருந்துசொல்லுங்க
கேபிஐ-னா என்னன்னு விளக்குங்க,கேபிஐ (KPI)-னா என்னங்கய்யா
பெர்ஃபார்மன்ஸ் எப்படி செக் பண்றது,வேலை எப்புடி இருக்குன்னு எப்புடி பாக்குறது
என்னையே நான் எப்படி மதிப்பீடு பண்ணிக்கிறது,என்ன நானே எப்புடி செக் பண்றது
மத்தவங்க எப்படி வேலை செய்றாங்கன்னு ரிவ்யூ பண்றது எப்படி,மத்தவங்க வேலைய எப்புடிச் சொல்லணும்
மென்ட்டார் கிட்ட இருந்து ஃபீட்பேக் வாங்குறது எப்படி,பெரியவங்ககிட்ட கருத்து கேக்குறது எப்புடி
வெளிநாட்டுல படிக்கிறது எப்படின்னுசொல்லுங்க,வெளிநாட்டுல படிக்க எப்புடிப் போறது
என்ட்ரன்ஸ் எக்ஸாமுக்கு எப்படி படிக்கணும்,என்ட்ரன்ஸ் எக்ஸாமுக்கு எப்புடிப் படிக்கணும்
