theni_tamil,normal_tamil
படுத்த படுக்கையா இருக்கிறவங்கள ஒரு கஷ்டமும் இல்லாம பாத்துக்கிறது எப்புடி,படுக்கையில் இருக்கும் நோயாளி பராமரிப்பு
நடக்க முடியாம இருக்கிறவங்களுக்கு எப்புடி ஒத்தாசை பண்ணுங்கறது,நடமாட்ட உதவி குறிப்புகள்
வயசானவங்க தரிக்கிக் கீழே விழாம இருக்க என்ன பண்ணலாம்,வீட்டில் கீழே விழுவதைத் தடுக்கும் முறைகள்
வீடு பாதுகாப்பா இருக்கான்னு ஒரு லிஸ்ட் போட்டுப் பாருங்க,வீட்டுப் பாதுகாப்பு சரிபார்ப்புப் பட்டியல்
பாத்ரூம்ல வழுக்கி விடாம இருக்கச் சில பாதுகாப்பு வழிகள்,குளியலறை பாதுகாப்பு குறிப்புகள்
பெரியவங்க உடம்புக்குத் தெம்பா என்னென்ன சாப்பிடணும்,முதியவர்களுக்கான ஊட்டச்சத்து
பெரியவங்க உடம்புல தண்ணிச் சத்து குறையாமப் பாத்துக்கங்க,முதியவர்களுக்கான நீர்ச்சத்து
புள்ளைங்க ஆரோக்கியத்தைப் பத்தித் தெரிஞ்சுக்கிறது,குழந்தைகள் நல விழிப்புணர்வு
புள்ளைங்க சரியா வளருதான்னு நோட்டம் விடுறது,வளர்ச்சி கண்காணிப்பு விளக்கம்
புள்ளைங்க ஏன் ஓடி ஆடி விளையாடணும்னு தெரிஞ்சுக்கங்க,விளையாட்டின் முக்கியத்துவம்
புள்ளைங்க எவ்வளவு நேரம் போன் பொட்டியப் பாக்கலாம்,குழந்தைகளுக்கான திரைப் பயன்பாட்டு நேரம்
பள்ளிக்கூடத்துல சொல்லிக்கொடுக்கிற ஆரோக்கிய விஷயங்கள்,பள்ளி சுகாதாரத் திட்டங்கள்
